"Vaccine/Exemption","Dose","Geography Type","Geography","School Year","Estimate (%)","Population Size","Percent Surveyed","Footnotes","Number of Exemptions","Survey Type","Not_required"
"Polio",NA,"States","Indiana","2019-20",90.4,88253,65.7,NA,NA,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2016-17",1,83263,NA,"†",809,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2017-18",0.9,84296,NA,"†",735,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2019-20",2.2,88253,NA,"†",1901,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2020-21",1.9,78694,71.4,"†",1464,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2018-19",1.3,82324,NA,"†",1035,"Census",FALSE
"Polio",NA,"States","Indiana","2018-19",91.3,82324,96.4,NA,NA,"Census",FALSE
"Polio",NA,"States","Indiana","2016-17",89.5,83263,80.3,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2017-18",92.7,84296,96.4,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2015-16",89.7,83525,69.5,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2014-15",89.7,85477,70.1,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2013-14",90,87193,70.3,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2012-13",93.4,86983,83.4,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2020-21",89.9,78694,71.4,"§",NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2021-22",89.3,83198,75.1,"§",NA,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2009-10",0.3,84390,NA,NA,236,"Census",FALSE
"Exemption","Medical Exemption","States","Indiana","2011-12",0.2,83416,NA,NA,137,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2012-13",0.4,86983,NA,NA,326,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2013-14",0.4,87193,NA,NA,348,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2015-16",1.1,83525,NA,"†",912,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2013-14",0.8,87193,NA,"†",727,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2014-15",0.8,85477,NA,"†",651,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2009-10",0.8,84390,NA,"†",674,"Census",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2011-12",0.9,83416,NA,"†",514,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2012-13",0.9,86983,NA,"†",804,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2014-15",0.5,85477,NA,NA,406,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2015-16",0.5,83525,NA,NA,395,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2016-17",0.1,83263,NA,NA,112,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2017-18",0.2,84296,NA,NA,156,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2019-20",0.2,88253,NA,"†",199,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2018-19",0.3,82324,NA,"†",252,"Census",FALSE
"Exemption","Medical Exemption","States","Indiana","2020-21",0.2,78694,71.4,"†",131,"Vol. Response",FALSE
"Exemption","Medical Exemption","States","Indiana","2021-22",0.2,83198,75.1,"†",141,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2015-16",92.6,83525,69.5,NA,NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2014-15",92.7,85477,70.1,NA,NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2016-17",92.1,83263,80.3,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2015-16",89.2,83525,69.5,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2014-15",89.3,85477,70.1,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2013-14",92.9,87193,70.3,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2012-13",95.4,86983,83.4,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2011-12",93.3,83416,67.5,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2009-10",92.8,84390,94.7,NA,NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2009-10",91.1,84390,94.7,NA,NA,"Census",FALSE
"MMR",NA,"States","Indiana","2021-22",92.1,83198,75.1,"§",NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2016-17",88.9,83263,80.3,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2019-20",94.4,88253,65.7,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2020-21",93.1,78694,71.4,"§",NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2017-18",90.4,84296,96.4,NA,NA,"Vol. Response",FALSE
"MMR",NA,"States","Indiana","2018-19",91.2,82324,96.4,NA,NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2013-14",81.8,87193,70.3,NA,NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2012-13",90.1,86983,83.4,NA,NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2011-12",90.2,83416,67.5,NA,NA,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2012-13",1.3,86983,NA,"†",1129,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2013-14",1.2,87193,NA,"†",1075,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2014-15",1.1,85477,NA,"†",977,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2015-16",1.2,83525,NA,"†",1035,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2011-12",1.2,83416,NA,"†",651,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2009-10",1.1,84390,NA,"†",909,"Census",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2021-22",2.2,83198,75.1,"†",1839,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2017-18",0.7,84296,NA,"†",579,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2018-19",1,82324,NA,"†",783,"Census",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2020-21",1.7,78694,71.4,"†",1333,"Vol. Response",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2019-20",1.9,88253,NA,"†",1701,"Vol. Response",FALSE
