"region","region_abbr","location","year","antigen","dose_type","estimation_category","estimation_type","coverage"
"COUNTRIES","USA","United States of America",2023,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2023,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2022,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.6
"COUNTRIES","USA","United States of America",2022,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94.2
"COUNTRIES","USA","United States of America",2022,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2022,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2021,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.1
"COUNTRIES","USA","United States of America",2021,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",93.7
"COUNTRIES","USA","United States of America",2021,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2021,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2020,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",96.7
"COUNTRIES","USA","United States of America",2020,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",93.3
"COUNTRIES","USA","United States of America",2020,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2020,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",93
"COUNTRIES","USA","United States of America",2019,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.1
"COUNTRIES","USA","United States of America",2019,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",93.8
"COUNTRIES","USA","United States of America",2019,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2019,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2018,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.1
"COUNTRIES","USA","United States of America",2018,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",2018,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2018,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2017,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",2017,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97
"COUNTRIES","USA","United States of America",2017,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2017,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2016,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",95
"COUNTRIES","USA","United States of America",2016,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.7
"COUNTRIES","USA","United States of America",2016,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",2016,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2015,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94.7
"COUNTRIES","USA","United States of America",2015,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.8
"COUNTRIES","USA","United States of America",2015,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",2015,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2014,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",95
"COUNTRIES","USA","United States of America",2014,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",98
"COUNTRIES","USA","United States of America",2014,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",2014,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2013,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94.3
"COUNTRIES","USA","United States of America",2013,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.5
"COUNTRIES","USA","United States of America",2013,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2013,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2012,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",2012,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97
"COUNTRIES","USA","United States of America",2012,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2012,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2011,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2011,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",98
"COUNTRIES","USA","United States of America",2011,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2011,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2010,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.7
"COUNTRIES","USA","United States of America",2010,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94.5
"COUNTRIES","USA","United States of America",2010,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",2010,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2009,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",98
"COUNTRIES","USA","United States of America",2009,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",95
