"country / region","disease","year","cases"
"United States of America","Diphtheria",2024,NA
"United States of America","Diphtheria",2023,1
"United States of America","Diphtheria",2022,0
"United States of America","Diphtheria",2021,1
"United States of America","Diphtheria",2020,2
"United States of America","Diphtheria",2019,NA
"United States of America","Diphtheria",2018,0
"United States of America","Diphtheria",2017,0
"United States of America","Diphtheria",2016,0
"United States of America","Diphtheria",2015,0
"United States of America","Diphtheria",2014,1
"United States of America","Diphtheria",2013,0
"United States of America","Diphtheria",2012,1
"United States of America","Diphtheria",2011,0
"United States of America","Diphtheria",2010,0
"United States of America","Diphtheria",2009,0
"United States of America","Diphtheria",2008,0
"United States of America","Diphtheria",2007,0
"United States of America","Diphtheria",2006,0
"United States of America","Diphtheria",2005,0
"United States of America","Diphtheria",2004,0
"United States of America","Diphtheria",2003,1
"United States of America","Diphtheria",2002,0
"United States of America","Diphtheria",2001,1
"United States of America","Diphtheria",2000,2
"United States of America","Diphtheria",1999,1
"United States of America","Diphtheria",1998,1
"United States of America","Diphtheria",1997,5
"United States of America","Diphtheria",1996,2
"United States of America","Diphtheria",1995,0
"United States of America","Diphtheria",1994,2
"United States of America","Diphtheria",1993,0
"United States of America","Diphtheria",1992,4
"United States of America","Diphtheria",1991,5
"United States of America","Diphtheria",1990,4
"United States of America","Diphtheria",1989,3
"United States of America","Diphtheria",1988,2
"United States of America","Diphtheria",1987,3
"United States of America","Diphtheria",1986,0
"United States of America","Diphtheria",1985,3
"United States of America","Diphtheria",1984,1
"United States of America","Diphtheria",1983,5
"United States of America","Diphtheria",1982,2
"United States of America","Diphtheria",1981,5
"United States of America","Diphtheria",1980,3
"United States of America","Total tetanus",2024,NA
"United States of America","Total tetanus",2023,27
"United States of America","Total tetanus",2022,28
"United States of America","Total tetanus",2021,17
"United States of America","Total tetanus",2020,26
"United States of America","Total tetanus",2019,0
"United States of America","Total tetanus",2018,0
"United States of America","Total tetanus",2017,33
"United States of America","Total tetanus",2016,34
"United States of America","Total tetanus",2015,30
"United States of America","Total tetanus",2014,25
"United States of America","Total tetanus",2013,26
"United States of America","Total tetanus",2012,37
"United States of America","Total tetanus",2011,37
"United States of America","Total tetanus",2010,26
"United States of America","Total tetanus",2009,18
"United States of America","Total tetanus",2008,19
"United States of America","Total tetanus",2007,28
"United States of America","Total tetanus",2006,41
"United States of America","Total tetanus",2005,27
"United States of America","Total tetanus",2004,34
"United States of America","Total tetanus",2003,20
"United States of America","Total tetanus",2002,25
"United States of America","Total tetanus",2001,38
"United States of America","Total tetanus",2000,35
"United States of America","Total tetanus",1999,32
"United States of America","Total tetanus",1998,34
"United States of America","Total tetanus",1997,42
"United States of America","Total tetanus",1996,NA
"United States of America","Total tetanus",1995,34
"United States of America","Total tetanus",1994,51
"United States of America","Total tetanus",1993,48
"United States of America","Total tetanus",1992,45
"United States of America","Total tetanus",1991,57
"United States of America","Total tetanus",1990,64
"United States of America","Total tetanus",1989,53
"United States of America","Total tetanus",1988,53
"United States of America","Total tetanus",1987,48
"United States of America","Total tetanus",1986,64
"United States of America","Total tetanus",1985,83
"United States of America","Total tetanus",1984,74
"United States of America","Total tetanus",1983,91
"United States of America","Total tetanus",1982,88
